Designator,Mid X,Mid Y,Layer,Rotation
C1,165.325000,-113.125000,Top,90.000000
C2,117.750000,-106.250000,Top,180.000000
C3,136.700000,-92.800000,Top,0.000000
C4,165.500000,-106.250000,Top,90.000000
C5,165.500000,-102.025000,Top,90.000000
C6,165.500000,-98.975000,Top,-90.000000
C7,186.500000,-77.500000,Top,180.000000
C8,119.430000,-73.975000,Top,180.000000
C9,116.375000,-117.125000,Top,0.000000
C10,116.375000,-115.625000,Top,180.000000
C11,183.125000,-117.175000,Top,180.000000
C12,162.885000,-83.225000,Top,90.000000
C13,163.000000,-89.750000,Top,90.000000
C14,170.385000,-83.225000,Top,90.000000
C15,170.250000,-89.750000,Top,90.000000
C16,122.050000,-118.250000,Top,180.000000
C17,122.050000,-116.750000,Top,0.000000
C18,125.575000,-92.800000,Top,90.000000
C19,115.850000,-103.575000,Top,90.000000
C20,139.400000,-96.250000,Top,-90.000000
D1,157.000000,-83.575000,Top,-90.000000
D2,164.535000,-79.750000,Top,180.000000
D3,173.485000,-79.750000,Top,180.000000
D4,115.000000,-112.950000,Top,0.000000
J2,158.350000,-73.850000,Top,180.000000
J3,165.500000,-74.050000,Top,0.000000
J7,109.175000,-105.180000,Top,-90.000000
L1,137.950000,-100.300000,Top,0.000000
Q1,138.162500,-110.175000,Top,0.000000
Q2,138.162500,-106.550000,Top,0.000000
Q3,117.700000,-94.900000,Top,-90.000000
R1,167.141483,-106.261647,Top,90.000000
R2,166.875000,-111.675000,Top,90.000000
R3,140.950000,-105.600000,Top,-90.000000
R4,167.144908,-102.027913,Top,90.000000
R5,167.133200,-98.977966,Top,-90.000000
R6,169.500000,-101.250000,Top,180.000000
R7,169.500000,-99.750000,Top,180.000000
R8,155.250000,-88.825000,Top,90.000000
R9,166.020000,-96.530000,Top,0.000000
R10,157.000000,-88.825000,Top,90.000000
R11,123.130000,-68.650000,Top,180.000000
R12,123.280000,-74.000000,Top,180.000000
R13,158.750000,-88.825000,Top,90.000000
R14,189.500000,-76.212501,Top,-90.000000
R15,143.385000,-88.000000,Top,180.000000
R16,150.885000,-88.000000,Top,180.000000
R17,186.150000,-117.175000,Top,180.000000
R18,118.675000,-114.375000,Top,-90.000000
R19,165.250000,-92.750000,Top,0.000000
R20,183.150000,-115.675000,Top,180.000000
R21,165.252304,-91.186928,Top,180.000000
R22,167.635000,-81.825000,Top,-90.000000
R23,135.325000,-107.000000,Top,-90.000000
R24,172.500000,-92.603553,Top,0.000000
R25,172.500000,-91.103554,Top,180.000000
R26,175.135000,-82.500000,Top,-90.000000
R27,135.325000,-110.150000,Top,90.000000
R28,125.600000,-95.850000,Top,-90.000000
R31,125.800000,-99.700000,Top,0.000000
R32,119.900000,-95.925000,Top,90.000000
R33,115.875000,-100.275000,Top,-90.000000
R34,110.200000,-97.900000,Top,-90.000000
R35,112.250000,-97.900000,Top,-90.000000
R36,132.575000,-93.950000,Top,-90.000000
R37,133.400000,-96.325000,Top,0.000000
U2,154.650000,-105.570000,Top,180.000000
U3,186.500000,-74.962501,Top,0.000000
U4,143.385000,-82.750000,Top,90.000000
U5,150.885000,-82.750000,Top,90.000000
U6,165.385000,-86.000000,Top,-90.000000
U7,172.770000,-85.937500,Top,-90.000000
U8,122.062500,-112.500000,Top,0.000000
U9,122.737500,-94.950000,Top,0.000000
U10,120.550000,-102.300000,Top,0.000000
U11,136.687500,-95.750000,Top,90.000000
